Chans 40	1.51793
Chans 41	1.48866
Chans 42	1.62011
Chans 43	1.60338
Chans 44	1.48432
Chans 45	1.46459
Chans 46	1.54887
Chans 47	1.6033
Chans 112	1.54622
Chans 113	1.51024
Chans 114	1.51921
Chans 115	1.49718
Chans 116	1.61483
Chans 117	1.55288
Chans 118	1.53286
Chans 119	1.6399
Chans 120	1.59306
Chans 121	1.57869
Chans 122	1.59947
Chans 123	1.39014
Chans 124	1.4705
Chans 125	1.40318
Chans 126	1.50991
Chans 127	1.53894
Chans 32	1.70564
Chans 33	1.77758
Chans 34	1.693
Chans 35	1.75065
Chans 36	1.71948
Chans 37	1.76568
Chans 38	1.74118
Chans 39	1.74436
Chans 96	1.76968
Chans 97	1.68301
Chans 98	1.64369
Chans 99	1.74894
Chans 100	1.68713
Chans 101	1.64561
Chans 102	1.61992
Chans 103	1.68828
Chans 104	1.68534
Chans 105	1.72616
Chans 106	1.81498
Chans 107	1.69966
Chans 108	1.68417
Chans 109	1.76968
Chans 110	1.61038
Chans 111	1.63949
Chans 16	2.11865
Chans 17	1.88134
Chans 18	1.97525
Chans 19	1.96144
Chans 20	1.92323
Chans 21	1.92996
Chans 22	1.99838
Chans 23	1.94249
Chans 80	1.88134
Chans 81	2.01461
Chans 82	1.98253
Chans 83	1.88314
Chans 84	1.88891
Chans 85	1.88736
Chans 86	1.85172
Chans 87	1.92164
Chans 88	1.91472
Chans 89	1.88542
Chans 90	2.00925
Chans 91	2.00992
Chans 92	1.88968
Chans 93	2.11212
Chans 94	1.93335
Chans 95	1.89011
Chans 24	2.23629
Chans 25	2.12201
Chans 26	2.22197
Chans 27	2.16094
Chans 28	2.30067
Chans 29	2.25838
Chans 30	2.27488
Chans 31	2.15805
Chans 64	2.06863
Chans 65	2.05831
Chans 66	2.04641
Chans 67	2.03018
Chans 68	2.1074
Chans 69	2.02121
Chans 70	2.06763
Chans 71	2.32561
Chans 72	2.10235
Chans 73	2.23179
Chans 74	2.0741
Chans 75	2.07882
Chans 76	2.19611
Chans 77	2.13253
Chans 78	2.13469
Chans 79	2.14279
Chans 0	2.33659
Chans 1	2.38847
Chans 2	2.27495
Chans 3	2.32986
Chans 4	2.08118
Chans 5	2.26145
Chans 6	2.33121
Chans 7	2.31335
Chans 63	2.08118
Chans 62	2.08118
Chans 61	2.03439
Chans 60	2.01793
Chans 59	2.02526
Chans 58	2.08326
Chans 57	2.04464
Chans 56	2.11003
Chans 55	2.03719
Chans 54	2.0623
Chans 53	2.14734
Chans 52	2.00733
Chans 51	2.15039
Chans 50	2.1986
Chans 49	1.15903
Chans 48	2.02574
